"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 13 09:44:07 UTC 2026","Mon Apr 13 09:44:17 UTC 2026","10079","mobile-galaxy","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[로그인] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:22 UTC 2026","Mon Apr 13 09:42:30 UTC 2026","8311","firefox","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[무료로 시작하기] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:38 UTC 2026","Mon Apr 13 09:42:50 UTC 2026","11510","safari","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[무료로 시작하기] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:53 UTC 2026","Mon Apr 13 09:42:59 UTC 2026","6134","edge","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[무료로 시작하기] 버튼이 보인다",""
"passed","Mon Apr 13 09:44:05 UTC 2026","Mon Apr 13 09:44:11 UTC 2026","6293","mobile-iphone-se","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[무료로 시작하기] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:12 UTC 2026","Mon Apr 13 09:42:19 UTC 2026","6459","chromium","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[로그인] 버튼이 보인다",""
"passed","Mon Apr 13 09:43:08 UTC 2026","Mon Apr 13 09:43:18 UTC 2026","9284","mobile-safari","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[무료로 시작하기] 버튼이 보인다",""
"passed","Mon Apr 13 09:43:00 UTC 2026","Mon Apr 13 09:43:06 UTC 2026","5672","mobile-chrome","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[무료로 시작하기] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:59 UTC 2026","Mon Apr 13 09:43:07 UTC 2026","8662","mobile-chrome","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[로그인] 버튼이 보인다",""
"passed","Mon Apr 13 09:44:12 UTC 2026","Mon Apr 13 09:44:18 UTC 2026","5526","mobile-galaxy","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[무료로 시작하기] 버튼이 보인다",""
"failed","Mon Apr 13 09:43:43 UTC 2026","Mon Apr 13 09:44:01 UTC 2026","17695","mobile-iphone-se","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[로그인] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:38 UTC 2026","Mon Apr 13 09:42:48 UTC 2026","9560","safari","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[로그인] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:22 UTC 2026","Mon Apr 13 09:42:29 UTC 2026","7277","firefox","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[로그인] 버튼이 보인다",""
"failed","Mon Apr 13 09:43:44 UTC 2026","Mon Apr 13 09:44:05 UTC 2026","20962","mobile-safari","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[로그인] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:12 UTC 2026","Mon Apr 13 09:42:19 UTC 2026","6824","chromium","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[무료로 시작하기] 버튼이 보인다",""
"passed","Mon Apr 13 09:42:51 UTC 2026","Mon Apr 13 09:42:57 UTC 2026","6033","edge","landing.spec.ts","랜딩 페이지 - 주요 버튼 노출","","","[로그인] 버튼이 보인다",""
